"","case","year","systemic_crisis","exch_usd","domestic_debt_in_default","sovereign_external_debt_default","gdp_weighted_default","inflation_annual_cpi","independence","currency_crises","inflation_crises","period","banking_crises","region","total_crises"
"1",1,1870,4,0.052264,0,0,0,3.441455696,0,9,14,1880,4,"Algeria",31
"2",1,1871,4,0.052798,0,0,0,14.14913958,0,9,14,1880,4,"Algeria",31
"3",1,1872,4,0.052274,0,0,0,-3.718592965,0,9,14,1880,4,"Algeria",31
"4",1,1873,4,0.05168,0,0,0,11.20389701,0,9,14,1880,4,"Algeria",31
"5",1,1874,4,0.051308,0,0,0,-3.848560701,0,9,14,1880,4,"Algeria",31
"6",1,1875,4,0.051546,0,0,0,-20.92417833,0,9,14,1880,4,"Algeria",31
"7",1,1876,4,0.051867,0,0,0,-1.769547325,0,9,14,1880,4,"Algeria",31
"8",1,1877,4,0.051867,0,0,0,29.11604525,0,9,14,1880,4,"Algeria",31
"9",1,1878,4,0.051948,0,0,0,-1.492537313,0,9,14,1880,4,"Algeria",31
"10",1,1879,4,0.052029,0,0,0,-16.83135705,0,9,14,1880,4,"Algeria",31
"11",1,1880,4,0.052356,0,0,0,3.881188119,0,9,14,1880,4,"Algeria",31
"12",1,1881,4,0.052029,0,0,0,12.61913839,0,9,14,1900,4,"Algeria",31
"13",1,1882,4,0.050761,0,0,0,-12.35612729,0,9,14,1900,4,"Algeria",31
"14",1,1883,4,0.052002,0,0,0,-1.390498262,0,9,14,1900,4,"Algeria",31
"15",1,1884,4,0.052165,0,0,0,-15.94202899,0,9,14,1900,4,"Algeria",31
"16",1,1939,4,0.44903,0,0,0,9.756097561,0,9,14,1940,4,"Algeria",31
"17",1,1940,4,0.49189,0,0,0,22.22222222,0,9,14,1940,4,"Algeria",31
"18",1,1941,4,0.44937,0,0,0,16.36363636,0,9,14,1960,4,"Algeria",31
"19",1,1942,4,0.75,0,0,0,28.125,0,9,14,1960,4,"Algeria",31
"20",1,1943,4,0.5,0,0,0,46.34146341,0,9,14,1960,4,"Algeria",31
"21",1,1944,4,0.5,0,0,0,41.66666667,0,9,14,1960,4,"Algeria",31
"22",1,1945,4,1.191,0,0,0,29.41176471,0,9,14,1960,4,"Algeria",31
"23",1,1946,4,1.191,0,0,0,18.18181818,0,9,14,1960,4,"Algeria",31
"24",1,1947,4,1.193,0,0,0,69.23076923,0,9,14,1960,4,"Algeria",31
"25",1,1948,4,2.662,0,0,0,63.63636364,0,9,14,1960,4,"Algeria",31
"26",1,1949,4,3.49,0,0,0,23.61111111,0,9,14,1960,4,"Algeria",31
"27",1,1950,4,3.499,0,0,0,0,0,9,14,1960,4,"Algeria",31
"28",1,1951,4,3.5,0,0,0,6.741573034,0,9,14,1960,4,"Algeria",31
"29",1,1952,4,3.5,0,0,0,6.315789474,0,9,14,1960,4,"Algeria",31
"30",1,1953,4,3.5,0,0,0,-0.99009901,0,9,14,1960,4,"Algeria",31
"31",1,1954,4,3.5,0,0,0,1,0,9,14,1960,4,"Algeria",31
"32",1,1955,4,3.5,0,0,0,0,0,9,14,1960,4,"Algeria",31
"33",1,1956,4,3.5,0,0,0,1.98019802,0,9,14,1960,4,"Algeria",31
"34",1,1957,4,4.199,0,0,0,2.912621359,0,9,14,1960,4,"Algeria",31
"35",1,1958,4,4.906,0,0,0,12.26415094,0,9,14,1960,4,"Algeria",31
"36",1,1959,4,4.909,0,0,0,9.243697479,0,9,14,1960,4,"Algeria",31
"37",1,1960,4,4.93706,0,0,0,5.384615385,0,9,14,1960,4,"Algeria",31
