"","region","period","total"
"1","Algeria",1880,3
"2","Algeria",1900,3
"3","Algeria",1920,3
"4","Algeria",1940,4
"5","Algeria",1960,14
"6","Algeria",1980,14
"7","Algeria",2000,31
"8","Algeria",2014,31
"9","Angola",1880,0
"10","Angola",1900,0
"11","Angola",1920,0
"12","Angola",1940,4
"13","Angola",1960,5
"14","Angola",1980,15
"15","Angola",2000,44
"16","Angola",2014,55
"17","Central African Republic",1880,0
"18","Central African Republic",1900,0
"19","Central African Republic",1920,0
"20","Central African Republic",1940,0
"21","Central African Republic",1960,1
"22","Central African Republic",1980,12
"23","Central African Republic",2000,42
"24","Central African Republic",2014,42
"25","Ivory Coast",1880,0
"26","Ivory Coast",1900,0
"27","Ivory Coast",1920,0
"28","Ivory Coast",1940,0
"29","Ivory Coast",1960,1
"30","Ivory Coast",1980,3
"31","Ivory Coast",2000,13
"32","Ivory Coast",2014,13
"33","Egypt",1880,0
"34","Egypt",1900,0
"35","Egypt",1920,4
"36","Egypt",1940,7
"37","Egypt",1960,10
"38","Egypt",1980,14
"39","Egypt",2000,34
"40","Egypt",2014,36
"41","Kenya",1880,0
"42","Kenya",1900,0
"43","Kenya",1920,0
"44","Kenya",1940,0
"45","Kenya",1960,0
"46","Kenya",1980,1
"47","Kenya",2000,33
"48","Kenya",2014,34
"49","Mauritius",1880,0
"50","Mauritius",1900,0
"51","Mauritius",1920,0
"52","Mauritius",1940,0
"53","Mauritius",1960,1
"54","Mauritius",1980,6
"55","Mauritius",2000,12
"56","Mauritius",2014,12
"57","Morocco",1880,0
"58","Morocco",1900,0
"59","Morocco",1920,0
"60","Morocco",1940,1
"61","Morocco",1960,17
"62","Morocco",1980,17
"63","Morocco",2000,22
"64","Morocco",2014,22
"65","Nigeria",1880,0
"66","Nigeria",1900,0
"67","Nigeria",1920,0
"68","Nigeria",1940,0
"69","Nigeria",1960,0
"70","Nigeria",1980,3
"71","Nigeria",2000,31
"72","Nigeria",2014,43
"73","South Africa",1880,0
"74","South Africa",1900,0
"75","South Africa",1920,1
"76","South Africa",1940,3
"77","South Africa",1960,4
"78","South Africa",1980,8
"79","South Africa",2000,16
"80","South Africa",2014,20
"81","Tunisia",1880,0
"82","Tunisia",1900,0
"83","Tunisia",1920,0
"84","Tunisia",1940,1
"85","Tunisia",1960,14
"86","Tunisia",1980,17
"87","Tunisia",2000,28
"88","Tunisia",2014,28
"89","Zambia",1880,0
"90","Zambia",1900,0
"91","Zambia",1920,0
"92","Zambia",1940,0
"93","Zambia",1960,1
"94","Zambia",1980,2
"95","Zambia",2000,42
"96","Zambia",2014,47
"97","Zimbabwe",1880,0
"98","Zimbabwe",1900,0
"99","Zimbabwe",1920,0
"100","Zimbabwe",1940,0
"101","Zimbabwe",1960,0
"102","Zimbabwe",1980,1
"103","Zimbabwe",2000,37
"104","Zimbabwe",2014,70
