"","case","cc3","country","year","systemic_crisis","exch_usd","domestic_debt_in_default","sovereign_external_debt_default","gdp_weighted_default","inflation_annual_cpi","independence","currency_crises","inflation_crises","banking_crisis"
"1",1,"DZA","Algeria",1957,0,0.00564149585993466,0,0,0,1.42861086550965e-06,0,0,0,0
"2",2,"AGO","Angola",1957,0,3.86937558385611e-11,0,0,0,1.34256098057657e-06,0,0,0,0
"3",10,"CAF","Central African Republic",1957,0,0.282074593482054,0,0,0,1.60621930244823e-06,0,0,0,0
"4",15,"CIV","Ivory Coast",1957,0,0,0,0,0,1.88931613125164e-06,0,0,0,0
"5",19,"EGY","Egypt",1957,0,0.00047144579596358,0,0,0,1.44391849557601e-06,1,0,0,0
"6",35,"KEN","Kenya",1957,0,0.00959672321455757,0,0,0,1.41578914120958e-06,0,0,0,0
"7",38,"MUS","Mauritius",1957,0,0.00626485495356025,0,0,0,1.25404505729371e-06,0,0,0,0
"8",40,"MAR","Morocco",1957,0,0.00481992531495965,0,0,0,1.40153556322194e-06,1,0,0,0
"9",45,"NGA","Nigeria",1957,0,0,0,0,0,1.3664807301217e-06,0,0,0,0
"10",56,"ZAF","South Africa",1957,0,0.000479372641777729,0,0,0,1.44457787079978e-06,1,0,0,0
"11",63,"TUN","Tunisia",1957,0,0.470236616093625,0,0,0,1.5464942457083e-06,1,0,0,0
"12",69,"ZMB","Zambia",1957,0,9.56595630453316e-07,0,0,0,1.44064540352131e-06,0,0,0,0
"13",70,"ZWE","Zimbabwe",1957,0,9.53908564075638e-30,0,0,0,1.43123371205965e-06,0,0,0,0
"14",1,"DZA","Algeria",1958,0,0.00659137382444378,0,0,0,1.85387903618639e-06,0,0,0,0
"15",2,"AGO","Angola",1958,0,3.86937558385611e-11,0,0,0,1.38802739341711e-06,0,0,0,0
"16",10,"CAF","Central African Republic",1958,0,0.329568458119181,0,0,0,1.87669908232889e-06,0,0,0,0
"17",15,"CIV","Ivory Coast",1958,0,0,0,0,0,2.25818651191196e-06,0,0,1,0
"18",19,"EGY","Egypt",1958,0,0.00047144579596358,0,0,0,1.23519468385392e-06,1,0,0,0
"19",35,"KEN","Kenya",1958,0,0.00959672321455757,0,0,0,1.29615711593989e-06,0,0,0,0
"20",38,"MUS","Mauritius",1958,0,0.00639204724054764,0,0,0,1.3244690664158e-06,0,0,0,0
"21",40,"MAR","Morocco",1958,0,0.00577154987261426,0,0,0,1.49552175900663e-06,1,1,0,0
"22",45,"NGA","Nigeria",1958,0,0,0,0,0,1.14153988741249e-06,0,0,0,0
"23",56,"ZAF","South Africa",1958,0,0.000477491695313355,0,0,0,1.43988691618374e-06,1,0,0,0
"24",63,"TUN","Tunisia",1958,0,0.000563880879355698,0,1,0.15,1.53340161973273e-06,1,1,0,0
"25",69,"ZMB","Zambia",1958,0,9.59013990193226e-07,0,0,0,1.34775039170524e-06,0,0,0,0
"26",70,"ZWE","Zimbabwe",1958,0,9.53908564075638e-30,0,0,0,1.45857064219101e-06,0,0,0,0
